state,year,case_action,case_type,age_group,count,for_total
Alaska,2020,Ambiguous,G+C+Joint,Adults+Minors,1171,Y
Alaska,2019,Ambiguous,G+C+Joint,Adults+Minors,1084,Y
Alaska,2018,Ambiguous,G+C+Joint,Adults+Minors,1227,Y
Alaska,2017,Ambiguous,G+C+Joint,Adults+Minors,1090,Y
Arizona,2020,Ambiguous,Guardianship ONLY,Adults ONLY,2520,Y
Arizona,2020,Ambiguous,Guardianship ONLY,Minors ONLY,2871,N
Arizona,2020,Ambiguous,Conservatorship ONLY,Adults ONLY,3485,N
Arizona,2020,Ambiguous,Conservatorship ONLY,Minors ONLY,1365,N
Arizona,2019,Ambiguous,Guardianship ONLY,Adults ONLY,2383,Y
Arizona,2019,Ambiguous,Guardianship ONLY,Minors ONLY,3608,N
Arizona,2019,Ambiguous,Conservatorship ONLY,Adults ONLY,4003,N
Arizona,2019,Ambiguous,Conservatorship ONLY,Minors ONLY,1334,N
Arizona,2018,Ambiguous,Guardianship ONLY,Adults ONLY,2800,Y
Arizona,2018,Ambiguous,Guardianship ONLY,Minors ONLY,3785,N
Arizona,2018,Ambiguous,Conservatorship ONLY,Adults ONLY,4554,N
Arizona,2018,Ambiguous,Conservatorship ONLY,Minors ONLY,1361,N
Arkansas,2020,Ambiguous,G+C+Joint,Adults ONLY,1110,Y
Arkansas,2020,Ambiguous,G+C+Joint,Minors ONLY,2439,N
Arkansas,2020,Ambiguous,G+C+Joint,Adults+Minors,133,N
Arkansas,2019,Ambiguous,G+C+Joint,Adults ONLY,1164,Y
Arkansas,2019,Ambiguous,G+C+Joint,Minors ONLY,2692,N
Arkansas,2019,Ambiguous,G+C+Joint,Adults+Minors,141,N
Arkansas,2018,Ambiguous,G+C+Joint,Adults ONLY,1153,Y
Arkansas,2018,Ambiguous,G+C+Joint,Minors ONLY,2617,N
Arkansas,2018,Ambiguous,G+C+Joint,Adults+Minors,146,N
Arkansas,2017,Ambiguous,G+C+Joint,Adults ONLY,1168,Y
Arkansas,2017,Ambiguous,G+C+Joint,Minors ONLY,2789,N
Arkansas,2017,Ambiguous,G+C+Joint,Adults+Minors,160,N
California,2020,Initiated+Reopened,G+C+Joint,Adults+Minors,15001,Y
California,2019,Initiated+Reopened,G+C+Joint,Adults+Minors,16634,Y
California,2018,Initiated+Reopened,G+C+Joint,Adults+Minors,16821,Y
California,2017,Initiated+Reopened,G+C+Joint,Adults+Minors,15923,Y
California,2016,Initiated+Reopened,G+C+Joint,Adults+Minors,15529,Y
Colorado,2020,Initiated+Reopened,Guardianship ONLY,Adults ONLY,826,Y
Colorado,2020,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,199,N
Colorado,2020,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,468,Y
Colorado,2020,Initiated+Reopened,Guardianship ONLY,Minors ONLY,869,N
Colorado,2020,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,327,N
Colorado,2020,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,51,N
Colorado,2019,Initiated+Reopened,Guardianship ONLY,Adults ONLY,934,Y
Colorado,2019,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,235,N
Colorado,2019,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,483,Y
Colorado,2019,Initiated+Reopened,Guardianship ONLY,Minors ONLY,950,N
Colorado,2019,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,318,N
Colorado,2019,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,35,N
Colorado,2018,Initiated+Reopened,Guardianship ONLY,Adults ONLY,910,Y
Colorado,2018,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,243,N
Colorado,2018,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,492,Y
Colorado,2018,Initiated+Reopened,Guardianship ONLY,Minors ONLY,931,N
Colorado,2018,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,340,N
Colorado,2018,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,27,N
Colorado,2017,Initiated+Reopened,Guardianship ONLY,Adults ONLY,823,Y
Colorado,2017,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,213,N
Colorado,2017,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,506,Y
Colorado,2017,Initiated+Reopened,Guardianship ONLY,Minors ONLY,1068,N
Colorado,2017,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,403,N
Colorado,2017,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,42,N
Colorado,2016,Initiated+Reopened,Guardianship ONLY,Adults ONLY,838,Y
Colorado,2016,Initiated+Reopened,Conservatorship ONLY,Adults ONLY,210,N
Colorado,2016,Initiated+Reopened,Joint G/C ONLY,Adults ONLY,531,Y
Colorado,2016,Initiated+Reopened,Guardianship ONLY,Minors ONLY,897,N
Colorado,2016,Initiated+Reopened,Conservatorship ONLY,Minors ONLY,435,N
Colorado,2016,Initiated+Reopened,Joint G/C ONLY,Minors ONLY,39,N
Connecticut,2019,Ambiguous,G+C+Joint,Adults ONLY,4700,Y
Delaware,2020,Ambiguous,G+C+Joint,Adults+Minors,1574,Y
Delaware,2019,Ambiguous,G+C+Joint,Adults+Minors,1744,Y
Delaware,2018,Ambiguous,G+C+Joint,Adults+Minors,2018,Y
Delaware,2017,Ambiguous,G+C+Joint,Adults+Minors,1917,Y
District of Columbia,2020,Initiated ONLY,G+C+Joint,Adults ONLY,361,Y
District of Columbia,2020,Reopened ONLY,G+C+Joint,Adults ONLY,34,Y
District of Columbia,2020,Initiated ONLY,Conservatorship ONLY,Minors ONLY,25,N
District of Columbia,2020,Reopened ONLY,Conservatorship ONLY,Minors ONLY,1,N
District of Columbia,2019,Initiated ONLY,G+C+Joint,Adults ONLY,544,Y
District of Columbia,2019,Reopened ONLY,G+C+Joint,Adults ONLY,31,Y
District of Columbia,2019,Initiated ONLY,Conservatorship ONLY,Minors ONLY,33,N
District of Columbia,2019,Reopened ONLY,Conservatorship ONLY,Minors ONLY,0,N
District of Columbia,2018,Initiated ONLY,G+C+Joint,Adults ONLY,527,Y
District of Columbia,2018,Reopened ONLY,G+C+Joint,Adults ONLY,44,Y
District of Columbia,2018,Initiated ONLY,Conservatorship ONLY,Minors ONLY,19,N
District of Columbia,2018,Reopened ONLY,Conservatorship ONLY,Minors ONLY,1,N
Florida,2020,Initiated ONLY,G+C+Joint,Adults+Minors,7876,Y
Florida,2019,Initiated ONLY,G+C+Joint,Adults+Minors,7906,Y
Florida,2018,Initiated ONLY,G+C+Joint,Adults+Minors,7317,Y
Hawaii,2020,Ambiguous,Guardianship ONLY,Adults+Minors,544,Y
Hawaii,2020,Ambiguous,Conservatorship ONLY,Adults+Minors,130,N
Hawaii,2020,Ambiguous,Joint G/C ONLY,Adults+Minors,73,Y
Hawaii,2019,Ambiguous,Guardianship ONLY,Adults+Minors,539,Y
Hawaii,2019,Ambiguous,Conservatorship ONLY,Adults+Minors,156,N
Hawaii,2019,Ambiguous,Joint G/C ONLY,Adults+Minors,74,Y
Hawaii,2018,Ambiguous,Guardianship ONLY,Adults+Minors,507,Y
Hawaii,2018,Ambiguous,Conservatorship ONLY,Adults+Minors,163,N
Hawaii,2018,Ambiguous,Joint G/C ONLY,Adults+Minors,79,Y
Hawaii,2017,Ambiguous,Guardianship ONLY,Adults+Minors,531,Y
Hawaii,2017,Ambiguous,Conservatorship ONLY,Adults+Minors,181,N
Hawaii,2017,Ambiguous,Joint G/C ONLY,Adults+Minors,58,Y
Idaho,2020,Initiated ONLY,Guardianship ONLY,Minors ONLY,568,N
Idaho,2020,Initiated ONLY,Guardianship ONLY,Adults ONLY,168,Y
Idaho,2020,Initiated ONLY,Conservatorship ONLY,Minors ONLY,42,N
Idaho,2020,Initiated ONLY,Conservatorship ONLY,Adults ONLY,26,N
Idaho,2020,Initiated ONLY,Joint G/C ONLY,Minors ONLY,61,N
Idaho,2020,Initiated ONLY,Joint G/C ONLY,Adults ONLY,400,Y
Idaho,2019,Initiated ONLY,Guardianship ONLY,Minors ONLY,621,N
Idaho,2019,Initiated ONLY,Guardianship ONLY,Adults ONLY,170,Y
Idaho,2019,Initiated ONLY,Conservatorship ONLY,Minors ONLY,42,N
Idaho,2019,Initiated ONLY,Conservatorship ONLY,Adults ONLY,27,N
Idaho,2019,Initiated ONLY,Joint G/C ONLY,Minors ONLY,49,N
Idaho,2019,Initiated ONLY,Joint G/C ONLY,Adults ONLY,424,Y
Idaho,2018,Initiated ONLY,Guardianship ONLY,Minors ONLY,620,N
Idaho,2018,Initiated ONLY,Guardianship ONLY,Adults ONLY,174,Y
Idaho,2018,Initiated ONLY,Conservatorship ONLY,Minors ONLY,68,N
Idaho,2018,Initiated ONLY,Conservatorship ONLY,Adults ONLY,30,N
Idaho,2018,Initiated ONLY,Joint G/C ONLY,Minors ONLY,61,N
Idaho,2018,Initiated ONLY,Joint G/C ONLY,Adults ONLY,408,Y
Indiana,2020,Initiated ONLY,G+C+Joint,Adults+Minors,8061,Y
Indiana,2019,Initiated ONLY,G+C+Joint,Adults+Minors,8301,Y
Indiana,2018,Initiated ONLY,G+C+Joint,Adults+Minors,8637,Y
Indiana,2017,Initiated ONLY,G+C+Joint,Adults+Minors,8108,Y
Kansas,2019,Ambiguous,Guardianship ONLY,Adults ONLY,472,Y
